"month","leaked_orders","successful_orders","monthly_revenue_leaked","monthly_leakage_rate_pct"
2016-09-01 00:00:00.000,2,1,116.01,50.00
2016-10-01 00:00:00.000,31,282,7432.95,9.06
2016-12-01 00:00:00.000,0,1,,0.00
2017-01-01 00:00:00.000,14,799,1481.28,1.65
2017-02-01 00:00:00.000,65,1749,8286.07,3.45
2017-03-01 00:00:00.000,66,2700,24207.20,2.33
2017-04-01 00:00:00.000,28,2436,11799.65,1.09
2017-05-01 00:00:00.000,61,3787,9992.66,1.55
2017-06-01 00:00:00.000,43,3323,11448.91,1.25
2017-07-01 00:00:00.000,93,4147,13524.34,2.15
2017-08-01 00:00:00.000,77,4393,12324.55,1.69
2017-09-01 00:00:00.000,66,4371,10567.23,1.46
2017-10-01 00:00:00.000,91,4698,14892.60,1.87
2017-11-01 00:00:00.000,123,7593,22243.57,1.56
2017-12-01 00:00:00.000,56,5729,16487.02,0.95
2018-01-01 00:00:00.000,86,7351,12364.77,1.14
2018-02-01 00:00:00.000,106,6776,12497.11,1.52
2018-03-01 00:00:00.000,44,7297,6915.38,0.59
2018-04-01 00:00:00.000,20,7067,4481.57,0.28
2018-05-01 00:00:00.000,47,7002,8233.52,0.66
2018-06-01 00:00:00.000,22,6350,3386.21,0.34
2018-07-01 00:00:00.000,61,6370,26660.59,0.94
2018-08-01 00:00:00.000,92,6535,25529.17,1.37
2018-09-01 00:00:00.000,15,0,4273.08,93.75
2018-10-01 00:00:00.000,4,0,589.67,100.00
